Model,Accuracy,Macro-F1
Logistic Regression,0.9545300305395318,0.954451224687928
SVM (RBF),0.9548693586698336,0.9539526068493674
Gradient Boosting,0.9334916864608076,0.9329490231457188
1D CNN,0.9284017645062775,0.928589583345811
Random Forest,0.9253478113335596,0.9233343351204918
BiLSTM,0.8931116389548693,0.8940752247095188
