Model,Accuracy,Macro-F1,Fit time (s)
Logistic Regression,0.9545300305395318,0.954451224687928,1.1350939273834229
SVM (RBF),0.9548693586698337,0.9539526068493674,1.933415174484253
Gradient Boosting,0.9334916864608076,0.9329490231457188,23.063828229904175
Random Forest,0.9253478113335596,0.9233343351204918,6.011961221694946
